																				
			F	F	F				F	F	F	F	F	F	F					
			F	F	F				F	F	F	F	F	F	F					
			F	F	F				F	F	F	F	F	F	F	DPL	F	F	F	
			F	F	F												F	F	F	
			F	F	F	F	F	F	F	F	F	F	F	DL	F		F	F	F	
			F	F	F		F	F	F	F	F	F	F		F		F	F	F	
			F	F	F		F	F	F	F	F	F	F		F		F	F	F	
			DT				F	F	F	F	F	F	F		F		F	F	F	
	F	F	F	F	F		F	F	F	F	F	F	F		F		F	F	F	
	F	F	F	F	F				DT				DT		DB				DT	
	F	F	F	F	F		F	F	F	F	F		F	F	F		F	F	F	
	F	F	F	F	F		F	F	F	F	F		F	F	F		F	F	F	
	F	F	F	F	F		F	F	F	F	F		F	F	F		F	F	F	
							F	F	F	F	F				DT		F		DT	
	F	F	F	F	F	DL	F	F	F	F	F		F	F	F	F	F		F	
	F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	
	F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	
	F	F	F	F	F								F						F	
	F	F	F	F	F	DL	F	F	F	F	F	F	F	F	F	F	F	F	F	
																				
