																				
			F	F	F	F	F	DL	F	F	F		F	F	F		F	F	F	
			F	F	F	F	F				F		F	F	F		F	F	F	
			F	F	F	F	F				F		F	F	F		F	F	F	
			DPT								F		F	F	F		F	F	F	
			F	F	F	F	F		F	F	F		F	F	F	F	F	F	F	
			F	F	F	F	F		DB				DT						DT	
			F	F	F	F	F		F	F	F	F	F	F	F		F	F	F	
			F	F	F	F	F		F	F	F	F	F	F	F		F	F	F	
			F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
			F	F	F	F	F						DT				F	F	F	
			F	F	F	F	F	DL	F	F	F	F	F				F	F	F	
			DT						F	F	F	F	F				DT			
			F	F	F	F	F	DL	F	F	F	F	F	DL	F	F	F			
			F	F	F	F	F								F	F	F			
			F	F	F	F	F		F	F	F				F	F	F			
			F	F	F	F	F		F	F	F				F	F	F			
			F	F	F	F	F	DL	F	F	F				F	F	F			
																				
																				
																				
