																				
			F	F	F	F	F	F	F	F	F		F	F	F	F	F			
			F	F	F	F	F	F	F	F	F		DPB				DB			
			F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
			F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
			F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
			F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
			F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
					DT								F	F	F	F	F	F	F	
	F	F	F	F	F	F	F	F	F	F	F	DL	F	F	F	F	F	F	F	
	F	F	F	F	F	F	F	F	F	F	F									
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	
	F	F	F	F	F	F	F	F	F	F	F	DL	F	F	F	F	F	F	F	
	DT				DPT														DT	
	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
																				
