																				
			F	F	F	F	F	F	F				F	F	F	F	F	F	F	
			F	F	F	F	F	F	F				DPB						DB	
			F	F	F	F	F	F	F		F	F	F	F	F		F	F	F	
			F	F	F	F	F	F	F		F	F	F	F	F		F	F	F	
			F	F	F	F	F	F	F		F	F	F	F	F		F	F	F	
			F	F	F	F	F	F	F		F	F	F	F	F		F	F	F	
			F	F	F	F	F	F	F	DL	F	F	F	F	F		F	F	F	
			DT						DT								DT			
	F	F	F	F	F		F	F	F	F	F		F	F	F	F	F			
	F	F	F	F	F		F	F	F	F	F		F	F	F	F	F			
	F	F	F	F	F		F	F	F	F	F	DPL	F	F	F	F	F			
	F	F	F	F	F				DT				F	F	F	F	F			
	F	F	F	F	F	DPL	F	F	F	F	F	F	F	F	F	F	F			
	DT						F	F	F	F	F				F		DT			
	F						F	F	F	F	F		F	F	F		F	F	F	
	F						F	F	F	F	F		F	F	F		F	F	F	
	F						F	F	F	F	F		F	F	F		F	F	F	
	F						F	F	F	F	F		F	F	F		F	F	F	
	F	F	F	F	F	DR	F	F	F	F	F	F	F	F	F	DPL	F	F	F	
																				
