																				
			F	F	F						F	F	F	DPL	F	F	F	F	F	
			F	F	F						F	F	F						F	
			F	F	F		F	F	F	DPL	F	F	F		F	F	F		F	
			F	F	F		F	F	F		F	F	F		F	F	F		F	
			F	F	F		F	F	F		F	F	F		F	F	F		F	
			DPT				DT						F		F	F	F		F	
			F	F	F	F	F	F	F		F	F	F		F	F	F	DL	F	
			F	F	F	F	F	F	F		F	F	F		F	F	F			
			F	F	F	F	F	F	F		F	F	F	DL	F	F	F			
			F	F	F	F	F	F	F		F	F	F							
			F	F	F	F	F	F	F		F	F	F		F	F	F	F	F	
			F	F	F	F	F	F	F		F	F	F		F	F	F	F	F	
			F	F	F	F	F	F	F		F	F	F		F	F	F	F	F	
											F				F	F	F	F	F	
			F	F	F	F	F	F	F	DL	F				F	F	F	F	F	
			F	F	F	F	F	F	F						F	F	F	F	F	
			F	F	F	F	F	F	F	DPL	F	F	F	DL	F	F	F	F	F	
											F	F	F						DT	
											F	F	F	DPL	F	F	F	F	F	
																				
