																				
			F	F	F	F	F	F	F	DL	F	DR	F	F	F	F	F	F	F	
			F	F	F	F	F	F	F				F	F	F	F	F	F	F	
	F	DPR	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	
	F		F	F	F	F	F	F	F		F		F	F	F	F	F	F	F	
	F		F	F	F	F	F	F	F		F		F	F	F	F	F	F	F	
	F		F	F	F	F	F	F	F		F		F	F	F	F	F	F	F	
	F		F	F	F	F	F	F	F	DL	F		F	F	F	F	F	F	F	
	F		F	F	F	F	F	F	F								DT		DT	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F								DT		F	F	F	F	F	F	F		F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F		F	F	F	F	F	F	F		DT								F	
	F	DPR	F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
			F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
			F	F	F	F	F	F	F		F	F	F	F	F	F	F	DL	F	
																				
